Sequence_Index	Protein_Name_First	Sequence_Length	Sequence_Hash	Protein_Count	Duplicate_Proteins
109	SO0110	447	71BC1C4B9AEB117CC0BE8192B24EA4E7FC764F14	1	
110	SO0111	204	4264630C2514CABF2AB3FDBFB96BAD654ACBF1C0	1	
111	SO0112	207	020AB7FBF3072E1DDDDDC6BFF4A6E57BB6A753BC	1	
112	SO0113	318	9E826FB2402F1AAD1BD6FE6AC59AE6D6DF2626A5	1	
113	SO0114	203	D1F87107AD95FB8BB2E0A993E9BCD26D25C852CE	1	
114	SO0115	325	79C2310F2A29639AA233AB32E4B634A61A9E5E12	1	
115	SO0116	325	557229009545A2D9870EE6FF1D9771EA167795F0	1	
116	SO0117	35	CB48D98A741F795D53C40D004EA90BC280C20454	1	
117	SO0118	290	778850220E4B0D43C066B8312036028B7124EA38	1	
118	SO0119	130	3A89ED721E159930D9CB1B3C30F74BA6B258DA5C	1	
119	SO0120	192	D2475B77DB17D4141217C608A765EB903BD9775C	1	
120	SO0121	392	73808E73922B10C5553380E4142B6476F39D4DEA	1	
121	SO0122	207	60E30D91C099A1D4B73F9AB42F261580F812603B	1	
122	SO0123	186	4CC60A0B6175E9FB73B48ADFF910A75DFCA58AAD	1	
123	SO0124	37	AF6B06C348DBFC6DCF2B0B3E35A82C4E91584EAE	1	
124	SO0125	121	E55F68A4E8F046312E02B8F2117E20E604B6233B	1	
125	SO0126	266	109F5BBAE36F74A0D257BA535080BA5105273091	1	
126	SO0127	504	0487ECFE1B7231FB9CF8B9A68735D19B08F89CD1	1	
127	SO0128	66	C5A38A5AE6E3AE4B06AF01E90DB8CD78E9937A72	1	
128	SO0129	197	577776AFF29362995C40292FB63C0C3A1139F250	1	
129	SO0130	935	ECE6029E6EBE32C8CB3B987EFD650DCD87B7639F	1	
130	SO0131	189	B23A1B839DE837982E1C324DD047DAD6AAEFF412	1	
131	SO0132	136	84644FB21BFA4CE5280A485D3563948C31A7A3AC	1	
132	SO0133	51	AFCCDA2E7341BB7252D0DCF05EC02ABC2BF84B4F	1	
133	SO0134	297	143C333C5F3282518838B2F163F7B0241BFB50FC	1	
134	SO0135	96	9C69534926CCE743D838E020770739978CB8E247	1	
135	SO0136	220	1E5E53584499A84B4A9B8E7CA00E372B26F7A2E1	1	
136	SO0137	253	22A618A138A7C382CDF95F23AF8CE37090EC53C2	1	
137	SO0138	417	4D94AF5FCD658C3AA075EE12BB159AE8E11184FE	1	
138	SO0139	178	AC60AFC4733A3C9A640BDA91180EEB34DB08A9E7	1	
139	SO0140	31	FCF8E56774FCB83CADF655041B49A4EEEE9DB0F5	1	
140	SO0141	1077	B68F0D250D30D0263AB49E5FFF56E34183F18012	1	
141	SO0142	217	6055D5CAA21F464C7ECC1288A2A3FFFE8E728C7A	1	
142	SO0143	37	FAD5174DFABE12912553613E339AB76E2680C3DC	1	
143	SO0144	700	3839F41AE4BD2981BF6B0BDBC4A9EDBF937DC88F	1	
144	SO0145	122	1DABEA9D41FB72B821DE4C1A05F2627E37469392	1	
145	SO0147	161	438144FCC297C29E8210A78FDC3740DC36BC20FA	1	
146	SO0148	226	87875031358D5903F119F9E0917FE927498A245C	1	
147	SO0149	48	065E753C34E9542A66B0CA18D33112804DBDA902	1	
148	SO0150	258	CE9B44016EDF0A0C850A77FF8CD0335B843B496E	1	
149	SO0151	255	8BE6DDB66483D57C445857671B835EBCD5BE6596	1	
150	SO0152	627	791042F23B7C91141B4090CFE4324E2E6C481FC6	1	
151	SO0153	54	DB76DC4207260AE0734707E768ECCFEBD02DB2FC	1	
152	SO0154	374	F5524F1051127EBED881D00BBC9F6F029F6ED7E0	1	
153	SO0155	31	5F68D3AB14C313AB75672A9108D75A83A89336FB	1	
154	SO0156	38	632FC26F426A339AD0DDA4A13A6288FC4167BFBE	1	
155	SO0157	412	CB1FE4B83EC06569F3BFDAA8A13CAE8B1AA7AA82	1	
156	SO0158	30	222B9C933863488A0D575A259468AD3E0A7DDD78	1	
157	SO0159	118	83A0A0E98D78E7979FDC7233CE3E573935088F20	1	
158	SO0160	519	3FBA136CA32254A2F357E1D1B97E2DD1D9516C4E	1	
159	SO0161	33	882CEED0FEF9585FC25444AF173226C13E763250	1	
160	SO0162	513	D167B06B91EFCD418059F6919E98AA71B101E388	1	
161	SO0163	286	CB9AFBD0CD537434B761E9F756C5B9CFB980E669	1	
162	SO0164	132	EF1EB98309871239E3D9F88960F4C3EDB9F88DD4	1	
163	SO0165	308	78554C9BEF0B71E134F028C003C88513924677D4	1	
164	SO0166	704	DABFDDDA890E52347F09AC8121CBF857BDE8B79E	1	
165	SO0167	521	B2DD8CDE4C9C3E000C864C57D6C42ABBF6F4721B	1	
166	SO0168	407	19F8101B49A4A9A5CD226092AF487503F15A6C68	1	
167	SO0169	144	56AFA4E032DF36EE4A590969DA93B8A24B092F46	1	
168	SO0170	190	F9B5447AD8A96644FDA5CD36C1341DA6D57E3843	1	
169	SO0171	122	6A6BB2D5DD0B1B34817F6A727616391DB986EEFB	1	
170	SO0172	255	BB248FF6BF1D80122C7C7E85C23BDED95F158FC6	1	
171	SO0173	332	7B82445D151BD3E0553E7FB9C16476431B41F886	1	
172	SO0174	395	62EE719827768A073386C1278705F530F0ADA1CB	1	
173	SO0175	158	8F92D32935D5478BCE313A2A4FE5E73FE5E8D21F	1	
174	SO0176	253	82E09AB3A3FB0DD6ABF1E14DF74D04F289B31294	1	
175	SO0177	220	07D14DEA164D10E6B75786E065BB77058F270170	1	
176	SO0178	34	F7E45275AC6D9C89F1363337CC33D3E1AE047D56	1	
177	SO0179	192	3ACE7BA331D868AA4A679C504C94E2389FB86BEC	1	
178	SO0180	669	5D89898AC14405B04C95A330CDF9EABC1A5BE21B	1	
179	SO0181	348	F708DCE6B188769322FC35BA365CD704FECD5D87	1	
180	SO0182	95	960724F5F784970973C39A4B15A876E225168993	1	
181	SO0183	160	BD0A76D6D3B54104D4EEC633446DFF06178A9AE9	1	
182	SO0184	183	092BDC9D03F91386770BCD9E172BD849B78D28B5	1	
183	SO0185	176	013750125C592F2428315DB9E7E247FE1B8E9647	1	
184	SO0186	181	9ABBE818C923CC25CEC8E0BB4E381C7B75F9DA45	1	
185	SO0187	407	13FD34924DD089BAAAF56750F8B4560058E5D1EB	1	
186	SO0188	363	DD4AF8B65312415F0DD476E87A9C1C5DFD2DA597	1	
187	SO0189	2522	815EB21EEDDF17E526C9B99CAE561C93D02C24B6	1	
188	SO0190	183	F1D99F10EEFEA40311430C2772EE1937B4BF1C7E	1	
189	SO0191	270	1E2E9CF737BC34E43FC7E500EA0897AF3B3F34C1	1	
190	SO0192	147	183577ED6F15444BEC94DA98A6A4FF1ECFD8EE85	1	
191	SO0193	203	C14E902E9627C00A1EC0359AA714564BFD5C74BD	1	
192	SO0194	620	C8954FE39DBBE446AAEF51A914B26115197186E4	1	
193	SO0195	376	B4E7886A9782487655C31099484AB1C98337B9C3	1	
194	SO0196	352	7225B0CBAC520BE878D13AB3A845EAD1DCB19043	1	
195	SO0197	368	6A64779E0577D0E92BABCAC5BE0ABEB30FBDD762	1	
196	SO0198	204	751C3886A1B96030B0AD9251490EA0B1BB2DED17	1	
197	SO0199	49	E55349794A2C3BC04B89088463D25889584BB3F9	1	
198	SO0200	62	DC1E099740AAF6970273682E88FCEB10E0DDA434	1	
199	SO0202	172	8AD9E4C3CD8B06667886C30EE75016EF306930F7	1	
200	SO0203	238	A5150C9BF8AD88260234260B8C0018E6E7C98930	1	
201	SO0204	219	AFF9803CF9C2790EE0E14000D9DA24E6D0B845E9	1	
202	SO0205	130	E3A040D42B69773FD0BBBED69C48DBC80F854AE1	1	
203	SO0206	366	5A600AB238B7FD17FA663C0EB4C9FFA8A0D8C123	1	
204	SO0207	273	A625553A3F9F6E70EFE4383A43BCD2BE6E9BDB6B	1	
205	SO0208	154	74557D4901E509515F362A0F6FAA65ED53CB1050	1	
206	SO0209	46	ED2386B7C56134A297EE92ADB60E4957661636DF	1	
207	SO0211	146	69D37765DDE696F124A18B5EC331829C9262AEF9	1	
208	SO0212	36	7542347BA966BB0456FB48B97B58B26A7C10C2E4	1	
209	SO0213	341	A2B5EDF2E6BD7FB734007603DF4FC7AF2334B609	1	
210	SO0214	319	BFB4FB5DEC44E7F805E81BDF7E2190627F05FE3C	1	
211	SO0215	316	0E76320A3D6E8B91A0AC1E5E4FD5A82DD39300DB	1	
212	SO0216	43	92BB1A8CDEDFF68881F8521D3E5927928C01FB36	1	
213	SO0217	394	9B1A88879A16E8C15BF82DDBC74DBC17D30033D3	1	
214	SO0218	123	A98553256481809C8A70AA3FC1DE5D200BFB421E	1	
215	SO0219	183	94D0316E09406671643F631FD9FCB1CD665571B6	1	
216	SO0220	142	4C59B2A9A4B1A231C2A81017607C15C596E92B51	1	
217	SO0221	233	3D8645E24B044A0A02C10F3F141DD946F5AFDCE9	1	
218	SO0222	166	C7ECE87BCA8E39BBDA71132A89E2A7C12DB70FAE	1	
219	SO0223	122	65C36E2EDD33573E556CB2FC06CFD75053BC4535	1	
220	SO0224	1345	DCFB604649C49D8F06577721A19D61CCCFF51F66	1	
221	SO0225	1405	DAA7F6B196EF5200E967279767AA532DA44BD391	1	
222	SO0226	124	7169D42E07000656A5E334EB310C656E46484223	1	
223	SO0227	156	627F3D53F4395054457FCCF637DB62330F4E6549	1	
224	SO0228	698	791C5675C21C3F8EAED69A7BA307C2C003D97EB1	1	
225	SO0229	394	E8CA8629136F1D9C0BA0E3D9E3F2D6E911C9F475	1	
226	SO0230	103	E963332737DD2A8A62EB0E7B31D50AF2E8C1D42D	1	
227	SO0231	212	813EA2CC4460604A2D6B7773AA99BC10EC70A6E3	1	
228	SO0232	201	2720DD76D8B1AE89232F4DA1FB1E207917415124	1	
229	SO0233	101	EDE9D4CA901F8BA56E39A62E8E2C78A9DC17CA16	1	
230	SO0234	274	35688C1F89C991C81F7AA8068242EFD91FA88274	1	
231	SO0235	92	779FA3E84B755C4D5A34394CFEC7CF2455CFB53E	1	
232	SO0236	110	B74FA0F6DC89A0C769836CEEFCC878D640B8E14E	1	
233	SO0237	230	F4D773B2A1E4CB3EC25FD1D9E819A65373C79708	1	
234	SO0238	136	BBCEF20F82FDBAAF7CAA1B285D84581FD17E59B4	1	
235	SO0239	63	7C96D008EFD0B28E65A3C2ED0C612833AE1FA67F	1	
236	SO0240	82	E7AD6904905C44BCC8A0C81C716FB2E530286DD3	1	
237	SO0241	122	693125F44E4355CD016B52BA9A24063AA34A195B	1	
238	SO0242	104	22CC04846A88DFC52101A34E8F53B94D7458A2FA	1	
239	SO0243	179	9A2913F675395804BABD2A5E6595F6D74E180B38	1	
240	SO0244	101	7CB956C87FC13653F78A8D352843F86DB6911F24	1	
241	SO0245	130	05BE686D1D5348CA05E56AFE43B9EBD08F1DBAF3	1	
242	SO0246	177	9B5C4594525E81A01D7962DABDBCFF52890600D3	1	
243	SO0247	116	BF8CD78B92953DB28EB7C006AFB9C004E9680353	1	
244	SO0248	167	F7326E3DFEE0B7ED252A50D413B5FA8C4296AE76	1	
245	SO0249	60	F5691B4202071D60DECDCE55E2F82BA98A7F00EE	1	
246	SO0250	144	6A973AAEEE7FB8BC9955A846318BA2A667C6CAF6	1	
247	SO0251	446	2E860A80278A167DB55E2A0F20063DE704929DDC	1	
248	SO0252	37	4164C250A3DCB10DC7B73F5C643D4B44A4ECC374	1	
249	SO0253	118	8BE824B3036DAF006A630ACC9DF93BC19F568F6B	1	
250	SO0254	130	04ED0AA120DFF2F00A9FD2E03EF042A6A4780112	1	
251	SO0255	206	C36E0844B1DA22FDF6C44D83348ED12994023527	1	
252	SO0256	329	56E75F75B8DB44380505303EEBB8EF464DFC03A5	1	
253	SO0257	131	18699BCFDE4D2D88BA9AAF7CB245D79014C966F1	1	
254	SO0258	51	DF3D0B4FA754BAB75C04D770066D330E0DBD1920	1	
255	SO0259	161	8C5004752796A90807514AACD7F776831F3951A7	1	
256	SO0260	66	ACEA1C8C7B4F3336EAC9AFCD3657C70A4F1A8FE3	1	
257	SO0261	248	709249A52CC283A58088E7B0BE4CC9FF03D58EED	1	
258	SO0262	228	F96D0B75B3CD0A9C0187BE58C6954BA1D07A9980	1	
259	SO0263	216	0569609D53C628AF74873C4FB9EBE3DA5B8E415A	1	
260	SO0264	99	8A597D6BD711D392338E011AB6BD9623E1DD9F74	1	
261	SO0265	415	FC5E575E6580433DBF044009FC11CCF69C9D828C	1	
262	SO0266	659	B56A95B70C9280744D38DD14940D3CDDA25D6932	1	
263	SO0267	184	3BDFF8C3B2A0B912927F6BC4EFD858D75CEB7581	1	
264	SO0268	159	64D70988A4C87FC89469DDD77C3B51EB1C76B991	1	
265	SO0269	194	C14EBE58E69661B4DCC20073831CE8294D7EF6A6	1	
266	SO0270	38	8A7095124C72539F82CEDD3CDE105712E1AF0F02	1	
267	SO0271	42	B346666FE638EE93613DEC73082987CF348CF83B	1	
268	SO0272	424	A19030F7165687BE26DFF0B898BDB3928B6F54C0	1	
269	SO0273	181	E78BA8F02065ECB003836FCD390928C591D6C980	1	
270	SO0274	881	DE77BBE60E1B1A4B893F342300DC13A57FEBADB2	1	
271	SO0275	326	21D85B31AAF6120F9BC105B3E9B9E6987647B0F1	1	
272	SO0276	260	E274EE10FC70D123F5ADF969B18F5BA84268D546	1	
273	SO0277	301	3D2DD2C7B7BC4E23A7DE05417BEAC55AB6AA0C31	1	
274	SO0278	407	B83FABE15EC91690D800D26A61C5619D050543BC	1	
275	SO0279	455	F882995D2DA1D5D0AB6092B659C324824B0D5CA3	1	
276	SO0280	839	AB3C32898A1B4C7AC9699E4995620277ED01BB62	1	
277	SO0281	359	95CA487F71E904137DC82FF8F5F1482A31E08AB7	1	
278	SO0282	194	90D3F28045E1B776E9E231CAB1C679806273F389	1	
279	SO0283	206	8EFBB6BE3BC959D8E8EBD830DA3566EFCA4C4B80	1	
280	SO0284	171	4CA21C522D50A0E0697607FE9CA9B149E8B5A31A	1	
281	SO0285	684	305F5DB0FA266EFA16745F54BFDE47652FD0C36F	1	
282	SO0286	171	ED2D4E97D98136D10C7982F5B9AB546B3ABD0A81	1	
283	SO0287	359	6B4E1C28F1FEF1E64C88B15BDA7FA9B75EC03BEB	1	
284	SO0288	470	D0D5D8390F22257B7A287B616916641E64A49156	1	
285	SO0289	279	0D78983D435B27C0D7BDA18550114A73AF4D648F	1	
286	SO0290	62	DEA67C0514D96CDAD8CAD56142B4944B062DE73F	1	
287	SO0291	121	95A39C090EBD8C3C89C95BB1BE70024AF1618B43	1	
288	SO0292	225	398543AB768CDEF4B579F636AD674CC8B8EC4C2C	1	
289	SO0293	227	A68F7500885E0CCB1A84ED0C5AF606CD0A46CF7B	1	
290	SO0294	332	3DB09F8E1BF945A6310E270591B8A1C77CAACCE1	1	
291	SO0295	294	F8CC60A18BF66B669463003F9DAB73D02FABC873	1	
292	SO0296	307	2EAF47403E3DE450F7769BCBB79ABA70D7FC2AE1	1	
293	SO0297	188	21C28951E96D0169577F146133C59B62E66D89EB	1	
294	SO0298	197	CEF5EEA2BA14645C86B11F9AD1717099E16DD1FF	1	
295	SO0299	108	94E8C4E4F50518A9A03DC01122A6FF12E97AEABC	1	
296	SO0300	619	F13A50E90D918A791E4F0A66AF8E0069C63A6B9C	1	
297	SO0301	281	1C3D73590BA24EA842229D948E30D04CA2001870	1	
298	SO0302	168	8F61220E11D484DCF2351DE99A208758C8B1A232	1	
299	SO0303	40	3B01CD8521210A66CC0D746C393125E02843E85B	1	
300	SO0304	320	A61D72EAF94D9929F380DADAE2CC119E585B712C	1	
301	SO0305	37	3438477A028998695E44F512CD8F8DC61CC0AC2A	1	
302	SO0306	503	B835CD4E6B51A0646F80B945D127866E5A18D23F	1	
303	SO0307	42	4B9BE3EF7D3229F0C530704AB3813B25C51F633B	1	
304	SO0308	406	A7D1F65A80D57878653D3D586A8DB1EA946826AB	1	
305	SO0309	132	6928A98FA4F81201B50155F97029C163A75C8949	1	
306	SO0310	41	B92831467970EDCDB9EAFC7D8441F171B7ADB6B9	1	
307	SO0311	786	D3F5C19C23A3F0DE39157FA551802AC94402A93A	1	
308	SO0312	384	18BB40E459E7FD7C99F461325FE05B66621ADEE1	1	
309	SO0313	439	508574ED48333FD35BB0B3D15725628FAFA05C4C	1	
310	SO0314	720	4A0F6A32CE73AAF402C17E67D6ED291CD0D6CA26	1	
311	SO0315	48	002BBA28865DF1DB06D440CD36C52F1F1CE261D3	1	
312	SO0316	159	3AE3237C20FE2BA329B270652FAF55A6C9BD062E	1	
313	SO0317	252	0B1C22F800FAE3F2EEB12C6973B241F75241D95A	1	
314	SO0318	116	CC2F0D32CF51841143A03126E0A1A8BA11FAA382	1	
315	SO0319	445	C67DE195461AEBF26C35412AB98EA0390F7A265C	1	
316	SO0320	335	896EC8DD2AE6FFDBA520191A4B6CF752ECAD66EF	1	
317	SO0321	200	8F4EBCECA682E8C1D75A00B9B5C0C06CB0F08B86	1	
318	SO0322	193	6C984458E40AD38E42E44FEE4D46B31C4BCC30CC	1	
319	SO0323	310	EF7EF0C3E4A1B6DADB032D4746E367948A50CB0D	1	
320	SO0324	133	F5FD767EB9502433A833B820799A70752C55A7D6	1	
321	SO0325	119	8B982D628E3A295D2B3BC6B49005E4847E80C982	1	
322	SO0326	307	D69DA319148D49CC413A03E61DEFB598BD9E2458	1	
323	SO0327	32	E9E821F2CF35C4194180571682F6E3BEF5092F53	1	
324	SO0328	37	516ECB3B569DDD3DADEB2606CC7DBC118DE0090F	1	
325	SO0329	73	95660A1C67E5206876778CD9574457E1E061434B	1	
326	SO0330	484	7509FFAB89C32E1D7A372AD13FC0F757613B3D76	1	
327	SO0331	101	E596D87ADEB7565FC086685A56A10FDFA031E3FD	1	
328	SO0332	345	E189C174274D800372E72136FA881EAE203EECC3	1	
329	SO0333	202	86B6685E7AA3EB2A0F00C4141CD58285F4590F1F	1	
330	SO0334	70	9E32144D7E0E0B1939BCDDFBE13ECB35222E942E	1	
331	SO0335	73	D345D7D7FFF216E40D2FE037FCE4F30D67D1CB2C	1	
332	SO0336	507	7FF0C19FAAD58351ACFFA6185E28FE5A2E2EFF8E	1	
333	SO0337	118	64BF75E68DF947BD73203C78B02FBC055CFA4BFF	1	
334	SO0338	111	1C04717FC8DDBD7201E6B46DEB448193D991B012	1	
335	SO0339	90	3929A7D99B3C2E369B8C384A9C2E92A53534E66E	1	
336	SO0340	363	EEEBC680363D2C8CD4940682F4BB5E03EB12808D	1	
337	SO0341	1515	EB23CAC3C9F544587AE8FD4ADE98CFFE49F908D9	1	
338	SO0342	397	3452FF11FF02D9AA97BB9FBBE8BF8309FF106123	1	
339	SO0343	867	82AFDE49DBE350C2D777DD4666041F24D7434C45	1	
340	SO0344	375	5AC97DB396999647B2DC18919F1E924760273958	1	
341	SO0345	292	A015B68BA62EC4CDB48C6D5A89CBCDEFDD19CD11	1	
342	SO0346	238	ECF057B3493B5D85E9336D9D32BEAB67E168BB9D	1	
